damping,rho
0.92,0.23797684003529343
0.93,0.22932178333607328
0.94,0.22015503271393896
0.95,0.20825585604911734
0.96,0.1956115326318158
0.97,0.19521539058969165
0.98,0.20468013034323868
0.99,0.21748630194603025
1.0,0.22837458242912095
